"Document.ID","n.x","n.y","percent.misspelled"
"CMS-2017-0163-0029-1",112,12,0.107142857142857
"CMS-2017-0163-1165-0",28,3,0.107142857142857
"CMS-2017-0163-0630-1",1467,157,0.107021131561009
"CMS-2017-0163-0620-0",75,8,0.106666666666667
"CMS-2017-0163-1173-1",769,82,0.106631989596879
"CMS-2017-0163-0254-0",141,15,0.106382978723404
"CMS-2017-0163-0416-1",527,56,0.106261859582543
"CMS-2017-0163-0337-0",113,12,0.106194690265487
"CMS-2017-0163-1174-1",991,105,0.105953582240161
"CMS-2017-0163-0873-0",321,34,0.105919003115265
"CMS-2017-0163-0721-0",246,26,0.105691056910569
"CMS-2017-0163-1104-1",1222,129,0.10556464811784
"CMS-2017-0163-0308-0",57,6,0.105263157894737
"CMS-2017-0163-0696-0",38,4,0.105263157894737
"CMS-2017-0163-0816-0",19,2,0.105263157894737
"CMS-2017-0163-1069-1",608,64,0.105263157894737
"CMS-2017-0163-1142-1",8868,930,0.104871447902571
"CMS-2017-0163-1075-1",1402,147,0.104850213980029
"CMS-2017-0163-1084-1",1488,156,0.104838709677419
"CMS-2017-0163-1132-1",1128,118,0.104609929078014
"CMS-2017-0163-1102-1",6616,689,0.104141475211608
"CMS-2017-0163-1096-1",770,80,0.103896103896104
"CMS-2017-0163-0784-0",126,13,0.103174603174603
"CMS-2017-0163-1030-1",504,52,0.103174603174603
"CMS-2017-0163-1146-1",1638,169,0.103174603174603
"CMS-2017-0163-1163-6",602,62,0.102990033222591
"CMS-2017-0163-0605-0",68,7,0.102941176470588
"CMS-2017-0163-1122-1",487,50,0.102669404517454
"CMS-2017-0163-0326-0",78,8,0.102564102564103
"CMS-2017-0163-1204-1",2425,248,0.102268041237113
"CMS-2017-0163-0759-1",5023,511,0.101732032649811
"CMS-2017-0163-0950-0",197,20,0.101522842639594
"CMS-2017-0163-0594-1",1972,200,0.101419878296146
"CMS-2017-0163-0961-0",89,9,0.101123595505618
"CMS-2017-0163-1157-1",864,87,0.100694444444444
"CMS-2017-0163-0887-1",487,49,0.100616016427105
"CMS-2017-0163-0300-1",889,89,0.100112485939258
"CMS-2017-0163-0365-0",100,10,0.1
"CMS-2017-0163-0421-0",80,8,0.1
"CMS-2017-0163-0531-0",100,10,0.1
"CMS-2017-0163-0762-0",80,8,0.1
"CMS-2017-0163-1070-1",8296,826,0.099566055930569
"CMS-2017-0163-1148-1",1247,124,0.0994386527666399
"CMS-2017-0163-1123-1",7849,780,0.0993757166518028
"CMS-2017-0163-0423-0",111,11,0.0990990990990991
"CMS-2017-0163-1192-1",545,54,0.0990825688073395
"CMS-2017-0163-1058-1",192,19,0.0989583333333333
"CMS-2017-0163-1031-0",162,16,0.0987654320987654
"CMS-2017-0163-0648-0",71,7,0.0985915492957746
"CMS-2017-0163-1164-1",4030,396,0.0982630272952854
"CMS-2017-0163-0152-0",102,10,0.0980392156862745
"CMS-2017-0163-0343-0",51,5,0.0980392156862745
"CMS-2017-0163-0864-0",102,10,0.0980392156862745
"CMS-2017-0163-0474-1",653,64,0.0980091883614089
"CMS-2017-0163-1175-1",909,89,0.0979097909790979
"CMS-2017-0163-0498-0",205,20,0.0975609756097561
"CMS-2017-0163-0518-0",123,12,0.0975609756097561
"CMS-2017-0163-0266-0",134,13,0.0970149253731343
"CMS-2017-0163-0056-0",31,3,0.0967741935483871
"CMS-2017-0163-0534-0",31,3,0.0967741935483871
"CMS-2017-0163-1195-1",683,66,0.0966325036603221
"CMS-2017-0163-1161-1",5214,503,0.0964710395090142
"CMS-2017-0163-0382-1",643,62,0.0964230171073095
"CMS-2017-0163-1167-1",1806,174,0.0963455149501661
"CMS-2017-0163-0585-0",135,13,0.0962962962962963
"CMS-2017-0163-1193-1",542,52,0.0959409594095941
"CMS-2017-0163-1101-1",1951,187,0.0958482829318298
"CMS-2017-0163-0917-1",261,25,0.0957854406130268
"CMS-2017-0163-1099-1",2772,265,0.0955988455988456
"CMS-2017-0163-1086-1",377,36,0.0954907161803713
"CMS-2017-0163-0249-0",84,8,0.0952380952380952
"CMS-2017-0163-0701-0",105,10,0.0952380952380952
"CMS-2017-0163-0930-1",126,12,0.0952380952380952
"CMS-2017-0163-0976-0",147,14,0.0952380952380952
"CMS-2017-0163-0330-1",158,15,0.0949367088607595
"CMS-2017-0163-0640-1",2404,227,0.0944259567387687
"CMS-2017-0163-0658-0",223,21,0.0941704035874439
"CMS-2017-0163-0102-0",170,16,0.0941176470588235
"CMS-2017-0163-0294-0",117,11,0.094017094017094
"CMS-2017-0163-0384-0",117,11,0.094017094017094
"CMS-2017-0163-0380-1",915,86,0.0939890710382514
"CMS-2017-0163-0743-0",298,28,0.0939597315436242
"CMS-2017-0163-0280-0",64,6,0.09375
"CMS-2017-0163-0675-0",32,3,0.09375
"CMS-2017-0163-0731-0",64,6,0.09375
"CMS-2017-0163-0413-1",547,51,0.093235831809872
"CMS-2017-0163-0944-0",118,11,0.0932203389830508
"CMS-2017-0163-1044-0",344,32,0.0930232558139535
"CMS-2017-0163-0477-0",97,9,0.0927835051546392
"CMS-2017-0163-0928-1",97,9,0.0927835051546392
"CMS-2017-0163-1163-9",3644,338,0.092755214050494
"CMS-2017-0163-1163-10",1467,136,0.092706203135651
"CMS-2017-0163-1136-1",1479,137,0.0926301555104801
"CMS-2017-0163-1155-1",1004,93,0.0926294820717131
"CMS-2017-0163-0286-1",865,80,0.092485549132948
"CMS-2017-0163-1098-1",1107,102,0.0921409214092141
"CMS-2017-0163-0612-0",87,8,0.0919540229885057
"CMS-2017-0163-0818-0",120,11,0.0916666666666667
"CMS-2017-0163-0989-0",186,17,0.0913978494623656
"CMS-2017-0163-0846-1",613,56,0.0913539967373573
"CMS-2017-0163-1198-1",1993,182,0.0913196186653286
"CMS-2017-0163-0941-1",581,53,0.0912220309810671
"CMS-2017-0163-0301-0",373,34,0.0911528150134048
"CMS-2017-0163-0025-0",77,7,0.0909090909090909
"CMS-2017-0163-0063-0",11,1,0.0909090909090909
"CMS-2017-0163-0138-0",22,2,0.0909090909090909
"CMS-2017-0163-0389-0",77,7,0.0909090909090909
"CMS-2017-0163-0546-0",22,2,0.0909090909090909
"CMS-2017-0163-0563-0",506,46,0.0909090909090909
"CMS-2017-0163-0619-0",44,4,0.0909090909090909
"CMS-2017-0163-0653-0",44,4,0.0909090909090909
"CMS-2017-0163-0795-0",165,15,0.0909090909090909
"CMS-2017-0163-0862-0",11,1,0.0909090909090909
"CMS-2017-0163-1051-0",11,1,0.0909090909090909
"CMS-2017-0163-1135-1",12483,1132,0.0906833293278859
"CMS-2017-0163-0264-0",210,19,0.0904761904761905
"CMS-2017-0163-0937-1",145,13,0.0896551724137931
"CMS-2017-0163-0586-1",759,68,0.0895915678524374
"CMS-2017-0163-0318-0",67,6,0.0895522388059701
"CMS-2017-0163-0535-0",112,10,0.0892857142857143
"CMS-2017-0163-0940-1",101,9,0.0891089108910891
"CMS-2017-0163-0550-0",146,13,0.089041095890411
"CMS-2017-0163-0744-1",776,69,0.0889175257731959
"CMS-2017-0163-1196-1",463,41,0.0885529157667387
"CMS-2017-0163-0013-0",159,14,0.0880503144654088
"CMS-2017-0163-1200-1",399,35,0.087719298245614
"CMS-2017-0163-0954-0",160,14,0.0875
"CMS-2017-0163-1189-2",36688,3209,0.0874672917575229
"CMS-2017-0163-1190-1",1088,95,0.0873161764705882
"CMS-2017-0163-0146-0",378,33,0.0873015873015873
"CMS-2017-0163-1177-1",1424,124,0.0870786516853933
"CMS-2017-0163-0223-0",23,2,0.0869565217391304
"CMS-2017-0163-0299-0",46,4,0.0869565217391304
"CMS-2017-0163-0588-0",23,2,0.0869565217391304
"CMS-2017-0163-0662-0",69,6,0.0869565217391304
"CMS-2017-0163-0889-1",1242,108,0.0869565217391304
"CMS-2017-0163-1183-1",4629,401,0.0866277813782674
"CMS-2017-0163-1125-1",2741,237,0.0864647938708501
"CMS-2017-0163-1152-1",1055,91,0.0862559241706161
"CMS-2017-0163-1115-1",1484,128,0.0862533692722372
"CMS-2017-0163-0902-0",58,5,0.0862068965517241
"CMS-2017-0163-0912-1",1497,129,0.0861723446893788
"CMS-2017-0163-0412-1",267,23,0.0861423220973783
"CMS-2017-0163-0899-1",1639,141,0.0860280658938377
"CMS-2017-0163-0019-0",93,8,0.0860215053763441
"CMS-2017-0163-0921-0",128,11,0.0859375
"CMS-2017-0163-0677-1",653,56,0.0857580398162328
"CMS-2017-0163-0020-0",35,3,0.0857142857142857
"CMS-2017-0163-0106-0",35,3,0.0857142857142857
"CMS-2017-0163-0634-0",70,6,0.0857142857142857
"CMS-2017-0163-1001-0",105,9,0.0857142857142857
"CMS-2017-0163-0530-0",187,16,0.0855614973262032
"CMS-2017-0163-0169-0",269,23,0.0855018587360595
"CMS-2017-0163-0938-1",117,10,0.0854700854700855
"CMS-2017-0163-0968-0",82,7,0.0853658536585366
"CMS-2017-0163-1165-1",1477,126,0.0853080568720379
"CMS-2017-0163-0695-0",47,4,0.0851063829787234
"CMS-2017-0163-0391-1",9071,770,0.0848859001212656
"CMS-2017-0163-1202-1",1084,92,0.0848708487084871
"CMS-2017-0163-0896-0",59,5,0.0847457627118644
