"doc1","doc2","distance"
"2019Advance_ap","CMS-2017-0163-0306-1",0.561109369772407
"2019Advance_ap","CMS-2017-0163-1098-1",0.561062049325284
"2019Advance_ap","CMS-2017-0163-1164-1",0.556803737536915
"2019Advance_ap","CMS-2017-0163-1156-1",0.547455853986814
"2019Advance_ap","CMS-2017-0163-1129-1",0.545332155912058
"2019Advance_ap","CMS-2017-0163-1140-1",0.545172470870013
"2019Advance_ap","CMS-2017-0163-1101-1",0.541136778308682
"2019Advance_ap","CMS-2017-0163-1063-1",0.539889592543947
"2019Advance_ap","CMS-2017-0163-0640-1",0.539298522929431
"2019Advance_ap","CMS-2017-0163-1174-1",0.539167229078046
"2019Advance_ap","CMS-2017-0163-1168-1",0.532834483051897
"2019Advance_ap","CMS-2017-0163-1183-1",0.52604918313278
"2019Advance_ap","CMS-2017-0163-0848-1",0.520415427434998
"2019Advance_ap","CMS-2017-0163-1096-1",0.5194918239789
"2019Advance_ap","CMS-2017-0163-0745-1",0.518245364330246
"2019Advance_ap","CMS-2017-0163-0942-1",0.513255409198657
"2019Advance_ap","CMS-2017-0163-0686-1",0.509645591898162
"2019Advance_ap","CMS-2017-0163-1171-1",0.50763382261917
"2019Advance_ap","CMS-2017-0163-1084-1",0.50426991419239
"2019Advance_ap","CMS-2017-0163-1123-1",0.502884026514055
"2019Advance_ap","CMS-2017-0163-1133-1",0.497361191249417
"2019Advance_ap","CMS-2017-0163-1130-1",0.496309798079981
"2019Advance_ap","CMS-2017-0163-0742-1",0.494004742963616
"2019Advance_ap","CMS-2017-0163-1120-0",0.492678301308934
"2019Advance_ap","CMS-2017-0163-1188-1",0.491442415797099
"2019Advance_ap","CMS-2017-0163-1152-1",0.488264250743096
"2019Advance_ap","CMS-2017-0163-1104-1",0.48748253576083
"2019Advance_ap","CMS-2017-0163-1109-1",0.486961900173228
"2019Advance_ap","CMS-2017-0163-1131-1",0.485989488667638
"2019Advance_ap","CMS-2017-0163-1079-1",0.485593109239155
"2019Advance_ap","CMS-2017-0163-1136-1",0.485385561240959
"2019Advance_ap","CMS-2017-0163-0307-1",0.476478267103927
"2019Advance_ap","CMS-2017-0163-0397-1",0.473121465975759
"2019Advance_ap","CMS-2017-0163-0888-1",0.472509709098971
"2019Advance_ap","CMS-2017-0163-0407-1",0.459758920669332
"2019Advance_ap","CMS-2017-0163-1143-1",0.45649388836683
"2019Advance_ap","CMS-2017-0163-1146-1",0.456383119274563
"2019Advance_ap","CMS-2017-0163-0286-1",0.450684447884981
"2019Advance_ap","CMS-2017-0163-1204-1",0.448586769877032
"2019Advance_ap","CMS-2017-0163-1173-1",0.447415953529604
"2019Advance_ap","CMS-2017-0163-1083-0",0.440329562854439
"2019Advance_ap","CMS-2017-0163-0919-0",0.434596421909913
"2019Advance_ap","CMS-2017-0163-1145-0",0.434564425950948
"2019Advance_ap","CMS-2017-0163-1150-1",0.434010400455088
"2019Advance_ap","CMS-2017-0163-1198-1",0.425379739707945
"2019Advance_ap","CMS-2017-0163-0743-0",0.422456944523451
"2019Advance_ap","CMS-2017-0163-1087-0",0.421631661741283
"2019Advance_ap","CMS-2017-0163-1088-1",0.413447013320338
"2019Advance_ap","CMS-2017-0163-0920-0",0.409947476240678
"2019Advance_ap","CMS-2017-0163-1163-5",0.409365481480722
"2019Advance_ap","CMS-2017-0163-0379-1",0.408349656161318
"2019Advance_ap","CMS-2017-0163-1182-1",0.407726248075424
"2019Advance_ap","CMS-2017-0163-1106-1",0.397876019704967
